,Unnamed: 0,tweets_id,text,author_id,username,user_created_time,user_location,user_name,user_description,geo_place_id,geo_country_code,geo_place_type,geo_full_name,geo_bbox,geo_country,geo_name,date,text_clean,classification_labels,cluster_labels
0,1,1338313877830787076,"My soul hurts. 
Of course, Trump says The Bible is his favorite book. He lies. https://t.co/l0ickRJgGg",357245375,jhb430,2011-08-18T02:17:43.000Z,Florida,Waterdancer411,"American, writer/publicist/editor, wife, mother; caught Foggy Bottom Fever at age 6.",0a0de7bd49ef942d,US,city,"Scottsdale, AZ","[-111.960775, 33.4358637, -111.756022, 33.842816]",Etats-Unis,Scottsdale,2020-12-14,soul hurt cours trump say bibl favorit book lie,2,21
1,2,1338313871879188483,"@123jlsk @mikeallensongs @Gerizzly @maria48308 @darcyspencer Meanwhile, Trump was questioning why hospitals were begging for PPE &amp; accusing our Dr's of selling masks out the back door on the black market.",764759250275016704,cgbell862,2016-08-14T09:43:08.000Z,"Paducah, KY",CG Bellamy,"Love life, my kids, my family, my animals, nature, cloud watching & being able to speak my mind in the greatest country in the world.",7f6c6c8f0a9a5358,US,city,"Farley, KY","[-88.600323, 37.024943, -88.542468, 37.06551]",Etats-Unis,Farley,2020-12-14,meanwhil trump question hospit beg ppe amp accus dr sell mask back door black market,2,2
2,3,1338313869257805825,"@BreitbartNews The people have spoken. Trump won in a landslide. The media, life time politicians and bought of judges, electors etc” need to do the right and just thing, look at the evidence...",1046944861511933952,carina_strom,2018-10-02T02:08:01.000Z,"Osage Beach, MO",Carina Ström,"Love traveling, boating and zumba.",4ec01c9dbc693497,US,admin,"Florida, USA","[-87.634643, 24.396308, -79.974307, 31.001056]",Etats-Unis,Florida,2020-12-14,peopl spoken trump landslid media life time politician bought judg elector etc need right thing look evid,2,35
3,4,1338313851717169155,"@pastorlocke @BethMooreLPM Well said. As I wrote in my book, women that have been abused sexually, and have not been healed thoroughly, always speak out against Trump. It’s the truth and I stand on the revelation I was given!",171155041,GinaGuyWarren,2010-07-26T17:57:09.000Z,"Nashville, TN",Gina Guy-Warren,Author/Speaker Truth N Love Ministries/The Word And The Workout/Married to MrUnBreakable MMA/ Combat Sex-Trafficking Telegram:https://t.co/kqwK7R47qZ,7f7d58e5229c6b6c,US,admin,"Tennessee, USA","[-90.310298, 34.982924, -81.646901, 36.678119]",Etats-Unis,Tennessee,2020-12-14,well said wrote book women abus sexual heal thoroughli alway speak trump truth stand revel given,1,17
4,6,1338313699426177026,Trump White House staff to be among first to receive COVID-19 vaccine  https://t.co/Ekh0l0NJez,21835054,mbourg,2009-02-25T04:08:44.000Z,Philadelphia PA,Mike 🚲,Interested and learning Urban Planning and Sustainable Development. Pro public transportation and bikes. #ArcGis #CityEngine,e4a0d228eb6be76b,US,city,"Philadelphia, PA","[-75.280284, 39.871811, -74.955712, 40.13792]",Etats-Unis,Philadelphia,2020-12-14,trump white hous staff among first receiv covid19 vaccin,0,18
5,7,1338313693185142786,The Trump's family is up a Schitts Creek!,964289221677735936,dfeltner11,2018-02-16T00:04:00.000Z,"Middletown, OH",Donna Feltner,Feminist first! Democrat always! 2022 vote Blue!,d417541590918ddf,US,city,"Middletown, OH","[-84.424882, 39.463478, -84.298183, 39.548729]",Etats-Unis,Middletown,2020-12-14,trump famili schitt creek,2,33
6,9,1338313624935346177,"@RepDougCollins @realDonaldTrump LOL...

Thank you to the doctors, scientists, researchers who did the work.

Trump is an inept anti-science moron.",1038531162124238849,UGAFanTim,2018-09-08T20:54:58.000Z,"Augusta, GA",GA Bulldawg Fan,"UGA Bulldawg Fan
*Veteran
*U.S. Coast Guard
*Semper Paratus
*Registered Voter
*I served, did you?
*Augusta/Athens GA",00c6c3cd3e783197,US,city,"Augusta, GA","[-82.21201, 33.338854, -81.9143598, 33.542581]",Etats-Unis,Augusta,2020-12-14,lol thank doctor scientist research work trump inept antisci moron,1,58
7,12,1338313525899431937,"@KristyVoorhees @YEMolly Well, they’re both racist, anti-Semitic pieces of shit. But, I guess you could say Walt at least gave us an actual product. Trump is just a fucking grifter. 🤷🏼‍♂️",874597416,ToddParkman,2012-10-12T00:28:35.000Z,"Jackson, MS",Icculus the Prophet,"“Goddamn, the reaper man, he just walked through the door. He said, sonny won’t you step outside and we can settle on your soul.”",5c9d123437711a9d,US,city,"Jackson, MS","[-90.331039, 32.049347, -89.984994, 32.412627]",Etats-Unis,Jackson,2020-12-14,well theyr racist antisemit piec shit guess could say walt least gave us actual product trump fuck grifter,2,13
8,14,1338313480752001028,#NeverForget how most of the people you know that claim All Lives Matter because they’re “pro-life” (and only say either of those things in response to hearing BLM or about abortion) are AWFULLY quiet about Trump rushing as many death row folks to the afterlife as he can,44820084,SirRantAndRave,2009-06-05T04:24:11.000Z,It's best that you don't know,Flex Luthor,Sports. Movies. TV. Hilarity. General Awesomeness. Wordy and a frequent tweeter. Team (mostly maybe) #FollowBack.,0570f015c264cbd9,US,city,"St Louis, MO","[-90.3205158, 38.5331934, -90.175132, 38.774349]",Etats-Unis,St Louis,2020-12-14,neverforget peopl know claim live matter theyr prolif say either thing respons hear blm abort aw quiet trump rush mani death row folk afterlif,2,40
9,16,1338313437131268101,@nytimes Putin just decided to be at war with Biden. Severe sanctions coming. Makes no sense since Russia’s economy is so dependent on oil and exports. Their leverage has been diminished. NATO will be stronger and be putting the screws on Russian aggression.,1093876249011867649,ej_austen,2019-02-08T14:16:35.000Z,"Central Pennsylvania, USA",EJAusten 🇺🇸 🇨🇦 🇺🇦 🏴󠁧󠁢󠁳󠁣󠁴󠁿,Investment Mgr & Disrupter Wall St. Income Equality. Heroine Alice Paul. Janeite. Trail Hiker & Lake Swimmer. 🏊🏻‍♀️ ColumbiaMBA #ERA #Resist #BeHuman #BeKind,dd9c503d6c35364b,US,admin,"Pennsylvania, USA","[-80.519851, 39.719801, -74.689517, 42.516072]",Etats-Unis,Pennsylvania,2020-12-14,putin decid war biden sever sanction come make sens sinc russia economi depend oil export leverag diminish nato stronger put screw russian aggress,0,41
10,17,1338313433712893954,"Well said, Dr. Biden. https://t.co/EpzrUfce7r",25362763,the_julie_bray,2009-03-19T19:08:24.000Z,New England,Julie Bray,"Curriculum Director, Adjunct Professor in Education, Mom of 4- Sharpie & Post It Note Junkie",cd450c94084cbf9b,US,admin,"Massachusetts, USA","[-73.508143, 41.187054, -69.858861, 42.8868241]",Etats-Unis,Massachusetts,2020-12-14,well said dr biden,1,17
11,18,1338313415115173888,"@KanekoaTheGreat @MattBraynard Braynard was full of BS.

https://t.co/rh6aaWGi5r",1831255122,eturleye,2013-09-08T16:19:49.000Z,"Arizona, USA",🇺🇸Voting Rights or Bust 🇺🇸 ✍️,"I care about

🇺🇸 National Security
🏥 Affordable health care
👩 Reproductive rights
💵 Fair wages
⚖️ Civil rights 

AZLD28

personal, non-affiliated account",5c62ffb0f0f3479d,US,city,"Phoenix, AZ","[-112.3239143, 33.29026, -111.9254391, 33.8154652]",Etats-Unis,Phoenix,2020-12-14,braynard full bs,2,0
12,19,1338313407917780992,@mmpadellan Unfortunately need to protect the incoming Biden administration officials during any interactions with the current occupants.,47755381,royhighfield,2009-06-16T22:26:56.000Z,"Temecula, CA",Roy Highfield 🇺🇸 🌻,"California native, U.S.N. 71-77 Navy Achievement medal, husband to Diana, Head cook and bottle washer, Dog Dad",f95304ef80fecc3f,US,city,"Temecula, CA","[-117.184394, 33.447541, -117.054639, 33.554501]",Etats-Unis,Temecula,2020-12-14,unfortun need protect incom biden offici interact current occup,0,5
13,21,1338313342709080066,"@themaxburns @GOP Why does it always look like he’s in a cheap hotel room? Trump needs to get his son some help. These videos are so bad. He looks so bad
He is so high
Why does he keep doing this?",16263945,GenevieveSpeak,2008-09-12T21:30:31.000Z,"Annapolis, MD",Genevieve,Rational Optimist Activist Mommax4 Campaign Director MI-MD-TN-MD-DC #thepurpleproject #artinpublicplaces #DreamWorkDeliver Sense & Sensibility are of my own,aa509e938179ea44,US,city,"Annapolis, MD","[-76.5533209, 38.941032, -76.468263, 38.9989]",Etats-Unis,Annapolis,2020-12-14,alway look like he cheap hotel room trump need get son help video bad look bad high keep,0,54
14,22,1338313300384235521,"That's ""Dr. Biden"" to you, Sir. on @Bonfire https://t.co/1rKgG4yrWM",64848025,lezlieleefrench,2009-08-11T22:38:22.000Z,"Oceanside, California",Lezlie 💤 Lee-French 🏳️‍🌈🏴‍☠️😷|🌻🇺🇦,"Hist 20th Food/Ag, backyard 🧑‍🌾, Wrangler of 🐯, ⚾️ lover, 🪐 🔭🚀 Fallen, still gets up. 🧠 🏳️‍🌈 🏴‍☠️ 🌻 #CloseTheSky #BLM #StopAsianHate",1cf657005480e70e,US,city,"Oceanside, CA","[-117.399853, 33.152639, -117.241905, 33.299993]",Etats-Unis,Oceanside,2020-12-14,dr biden sir,1,17
