,count,cluster,terms
1,2960,0,"Index(['today', 'play', '2', 'work', 'see', 'take', 'know', 'day', 'use',
       'start', 'game', 'ye', 'think', 'peopl', 'made', 'live', '1', 'help',
       'run', 'week'],
      dtype='object')"
10,472,2,"Index(['coronaviru', 'man', 'say', 'alway', 'street', 'viru', 'beach',
       'covid19', 'boy', 'book', 'use', 'corona', 'direct', 'said', 'keep',
       'go', 'person', 'real', 'due', 'give'],
      dtype='object')"
2,221,4,"Index(['time', 'get', 'chang', 'everi', 'like', 'long', 'one', 'well', 'im',
       'take', 'next', 'use', 'peopl', 'go', 'day', 'work', 'enjoy', 'save',
       'still', 'love'],
      dtype='object')"
12,191,38,"Index(['go', 'day', 'get', 'let', '2', 'work', 'game', 'today', 'sinc', 'see',
       'team', 'even', 'peopl', 'everi', 'final', 'im', 'first', 'min', 'job',
       'want'],
      dtype='object')"
3,189,17,"Index(['amp', 'like', 'go', 'get', 'make', '2', 'made', 'love', 'day',
       'differ', 'use', 'well', 'think', 'next', 'one', 'today', 'take',
       'team', 'talk', 'new'],
      dtype='object')"
24,168,25,"Index(['im', 'say', 'get', 'go', 'like', 'even', 'damn', 'littl', 'work',
       'readi', 'glad', 'guy', 'tryna', 'see', 'good', 'also', 'school',
       'feel', 'trip', 'seem'],
      dtype='object')"
21,164,18,"Index(['great', 'good', 'see', 'today', 'feel', 'win', 'look', 'luck', 'team',
       'day', 'watch', 'game', 'done', 'well', 'goodgood', 'sure', 'work',
       'everyon', 'pretti', 'visit'],
      dtype='object')"
28,161,21,"Index(['one', 'get', 'year', 'go', 'anoth', 'like', 'cant', 'life', 'would',
       'tri', 'head', 'week', 'way', 'oneone', 'feel', 'see', 'two', 'say',
       'might', 'hand'],
      dtype='object')"
32,155,19,"Index(['get', 'better', 'tri', 'go', 'peopl', 'test', 'amp', 'good', 'know',
       'keep', 'think', 'ass', 'one', 'let', 'like', 'realli', 'well', 'see',
       'readi', 'hope'],
      dtype='object')"
38,150,13,"Index(['like', 'know', 'peopl', 'feel', 'im', 'sound', 'go', 'good', 'get',
       'week', 'let', 'even', 'play', 'alway', 'could', 'dont', 'see',
       'behind', 'person', 'last'],
      dtype='object')"
9,142,49,"Index(['need', 'would', 'get', 'help', 'say', 'like', 'someon', 'day', 'im',
       'think', 'work', 'start', 'that', 'peopl', 'go', 'question', 'needneed',
       'world', 'good', 'understand'],
      dtype='object')"
7,133,36,"Index(['us', 'tell', 'know', 'join', 'like', 'day', 'make', 'one', 'come',
       'amp', 'take', 'show', 'would', 'give', 'first', 'health', 'see',
       'care', 'today', '2'],
      dtype='object')"
20,132,41,"Index(['want', 'peopl', 'know', 'get', 'work', 'tell', 'mani', 'like',
       'better', 'die', 'win', 'see', 'crash', 'love', 'go', 'would', 'put',
       'shot', 'coronaviru', 'spread'],
      dtype='object')"
6,132,53,"Index(['love', 'u', 'lovelove', 'thank', 'peopl', 'good', 'see', 'friend',
       'team', 'ya', 'much', 'go', 'girl', 'heart', 'know', 'probabl',
       'brother', 'word', 'long', 'awesom'],
      dtype='object')"
