,count,cluster,terms
1,3210,1,"Index(['year', 'would', 'want', 'use', 'day', 'peopl', 'say', 'think', 'great',
       'come', 'us', 'also', 'make', 'take', 'night', 'citi', 'get', 'last',
       'like', 'thing'],
      dtype='object')"
17,339,4,"Index(['still', 'wait', 'gt', 'way', 'wind', 'humid', 'bad', 'that', 'weather',
       'pressur', 'start', 'rain', 'heart', 'stop', 'eat', 'ive', 'light',
       'your', 'talk', 'cloud'],
      dtype='object')"
25,218,23,"Index(['time', 'everi', 'last', 'long', 'first', 'go', 'good', 'like', 'one',
       'year', 'make', 'take', 'watch', 'say', 'im', 'show', 'amp', 'ive',
       'start', 'night'],
      dtype='object')"
35,186,24,"Index(['one', 'get', 'would', 'way', 'day', 'think', 'good', 'show', 'realli',
       'like', 'year', 'make', 'love', 'go', 'amp', 'great', 'im', 'peopl',
       'know', 'see'],
      dtype='object')"
32,181,3,"Index(['work', 'like', 'get', 'day', 'im', 'go', 'great', 'amp', 'year',
       'make', 'peopl', 'today', 'time', 'one', 'hard', 'way', 'art', 'thank',
       'women', 'take'],
      dtype='object')"
16,180,13,"Index(['get', 'make', 'dont', 'know', 'think', 'may', 'want', 'last', 'come',
       'great', 'use', 'rid', 'wait', 'show', 'night', 'paid', 'way', 'also',
       'spend', 'your'],
      dtype='object')"
43,173,58,"Index(['amp', '2', 'love', 'women', 'day', 'thank', 'come', 'go', 'give',
       'show', 'like', 'year', 'us', 'would', 'know', 'hear', 'way', 'bar',
       'alway', 'light'],
      dtype='object')"
28,173,15,"Index(['today', 'rain', 'mph', 'humid', '00', 'mm', 'temperatur', 'wind',
       'rise', 'day', 'pressur', 'like', 'hpa', 'gust', 'baromet', 'new',
       'ave', 'mb', 'women', 'celebr'],
      dtype='object')"
12,155,33,"Index(['go', 'like', 'let', 'im', 'get', 'amp', 'cant', 'see', 'want', 'still',
       'need', 'would', 'dont', 'way', 'use', 'say', 'pass', 'got', 'take',
       'abl'],
      dtype='object')"
2,153,14,"Index(['look', 'like', 'forward', 'great', 'make', 'see', 'one', 'get', 'time',
       'someth', 'way', 'use', 'love', 'take', 'march', 'new', 'game', 'tire',
       'last', 'wrong'],
      dtype='object')"
11,148,6,"Index(['see', 'best', 'ever', 'make', 'come', 'great', 'van', 'dont',
       'captain', 'amp', 'day', 'world', 'lot', 'wait', 'cant', 'everi', 'get',
       'someon', 'part', 'far'],
      dtype='object')"
4,145,38,"Index(['need', 'know', 'someon', 'see', 'made', 'great', 'like', 'come', 'us',
       'year', 'im', 'peopl', 'school', 'day', 'way', 'better', 'girl',
       'alreadi', 'get', 'go'],
      dtype='object')"
