,count,cluster,terms
0,8508,0,"Index(['back', 'got', 'make', 'take', 'first', '2', 'still', 'say', 'go',
       'week', 'even', 'stop', 'live', 'st', 'report', 'get', 'never', 'team',
       'realli', 'also'],
      dtype='object')"
14,782,6,"Index(['game', 'start', 'that', 'keep', 'made', 'tonight', 'fun', 'your',
       'beauti', 'true', 'make', 'win', 'hate', 'got', 'watch', 'lie', 'event',
       'power', 'time', 'say'],
      dtype='object')"
24,459,7,"Index(['amp', 'get', 'one', 'go', 'like', 'day', 'time', 'thank', '2', 'back',
       'work', 'peopl', 'new', 'life', 'live', 'love', 'say', 'make', 'much',
       'today'],
      dtype='object')"
2,455,40,"Index(['photo', 'amp', 'californiapost', 'floridapost', 'new', 'unit',
       'kingdompost', 'texapost', 'south', 'beach', 'north', 'post', 'east',
       'ontariopost', 'photopost', 'australiapost', 'hous', 'islandpost',
       'carolinapost', 'wisconsinpost'],
      dtype='object')"
13,423,8,"Index(['year', 'ago', 'old', 'last', 'next', 'go', 'get', 'like', 'back',
       'time', 'first', '3', 'still', 'one', '10', 'sinc', 'im', 'see', 'day',
       'much'],
      dtype='object')"
45,421,23,"Index(['im', 'go', 'get', 'like', 'sure', 'still', 'good', 'tire', 'sorri',
       'say', 'glad', 'tri', 'got', 'feel', 'shit', 'look', 'that', 'bitch',
       'tell', 'realli'],
      dtype='object')"
35,420,11,"Index(['like', 'look', 'feel', 'go', 'realli', 'say', 'sound', 'got', 'someth',
       'someon', 'make', 'also', 'back', 'get', 'even', 'im', 'live', 'way',
       'dont', 'likelike'],
      dtype='object')"
43,412,4,"Index(['get', 'vaccin', 'back', 'tri', 'got', 'like', 'go', 'make', 'let',
       'start', 'ta', 'way', 'help', 'hope', 'still', 'even', 'never', 'im',
       'time', 'much'],
      dtype='object')"
5,385,33,"Index(['new', 'look', 'york', 'forward', 'first', 'like', 'incid', 'make',
       'take', 'season', 'get', 'penn', 'got', 'time', 'much', 'citi', 'im',
       'way', 'book', 'realli'],
      dtype='object')"
36,365,48,"Index(['thank', 'thankthank', 'much', 'love', 'god', 'support', 'amaz',
       'share', 'xthank', 'im', 'hope', 'realli', 'follow', 'book', 'like',
       'u', 'glad', 'xxthank', 'appreci', 'awesom'],
      dtype='object')"
53,359,52,"Index(['peopl', 'get', 'vaccin', 'like', 'say', 'mani', 'know', 'make', 'go',
       'time', 'mask', 'never', 'start', 'way', 'take', 'help', 'even', 'good',
       'one', 'im'],
      dtype='object')"
44,349,53,"Index(['one', 'like', 'go', 'good', 'say', 'anoth', 'got', 'make', 'look',
       'im', 'get', 'back', 'new', 'love', 'old', 'time', 'favorit', 'ive',
       'alway', 'way'],
      dtype='object')"
40,340,14,"Index(['day', 'one', 'go', 'good', 'take', 'everi', 'like', 'back', 'get',
       'time', '2', 'im', 'make', 'rain', 'anoth', 'see', 'ive', 'first',
       'need', 'peopl'],
      dtype='object')"
27,335,16,"Index(['today', 'day', 'get', 'one', 'go', 'good', 'time', 'take', 'got',
       'amp', 'rain', 'like', 'thank', 'hope', 'todaytoday', 'mph', 'everyon',
       'make', 'book', 'love'],
      dtype='object')"
39,323,2,"Index(['time', 'first', 'get', 'like', 'everi', 'take', 'go', 'make', 'one',
       'long', 'next', 'back', 'run', 'mani', 'even', 'good', 'love', 'amp',
       'feel', 'great'],
      dtype='object')"
15,321,56,"Index(['good', 'morn', 'day', 'goodgood', 'look', 'hope', 'daygood', 'enjoy',
       'afternoon', 'luck', 'enjoygood', 'god', 'realli', 'everyon', 'bless',
       'great', 'friend', 'even', 'weekend', 'win'],
      dtype='object')"
29,321,20,"Index(['love', 'lovelove', 'much', 'show', 'alway', 'get', 'new', 'babi',
       'way', 'send', 'heart', 'good', 'first', 'amp', 'go', 'hear', 'u',
       'watch', 'best', 'feel'],
      dtype='object')"
31,317,39,"Index(['go', 'let', 'gogo', 'back', 'get', 'got', 'way', 'keep', 'game',
       'cant', 'watch', 'buy', 'next', 'show', 'even', 'im', 'time', 'anoth',
       'look', 'differ'],
      dtype='object')"
41,315,29,"Index(['would', 'like', 'love', 'say', 'get', 'think', 'want', 'take', 'make',
       'one', 'go', 'much', 'never', 'could', 'realli', 'still', 'tri',
       'thought', 'need', 'list'],
      dtype='object')"
