,count,cluster,terms
1,3349,3,"Index(['us', 'day', 'peopl', 'amp', 'year', 'live', 'get', 'call', 'report',
       'use', 'state', 'team', 'russian', 'world', '2', 'snow', 'first',
       'game', 'co', 'support'],
      dtype='object')"
25,255,1,"Index(['would', 'great', 'back', 'much', 'god', 'never', 'day', 'hell',
       'bring', 'could', 'last', 'end', 'tri', 'make', 'part', 'talk', 'year',
       'interest', 'thought', 'right'],
      dtype='object')"
44,177,39,"Index(['photo', 'new', 'amp', 'australiapost', 'yorkpost', 'texapost',
       'kingdompost', 'london', 'unit', 'georgiapost', 'californiapost',
       'floridapost', 'west', 'atlanta', 'barpost', 'parkpost', 'la', 'north',
       'postpost', 'univers'],
      dtype='object')"
22,177,42,"Index(['go', 'get', 'let', 'day', 'back', 'like', 'see', 'peopl', 'your', 'us',
       'next', 'want', 'dont', 'amp', 'ever', 'putin', 'live', 'what', 'know',
       'im'],
      dtype='object')"
13,166,9,"Index(['amp', 'new', 'york', 'penn', 'construct', 'stationupdat', 'like',
       'see', 'us', '2', 'local', '1', 'war', 'time', 'support', 'world',
       'pleas', 'back', 'one', 'want'],
      dtype='object')"
12,159,58,"Index(['love', 'see', 'one', 'lovelove', 'amaz', 'make', 'amp', 'god', 'im',
       'much', 'guy', 'like', 'sun', 'time', 'back', 'call', 'thank', 'realli',
       'everyon', 'weekend'],
      dtype='object')"
9,158,30,"Index(['im', 'see', 'good', 'work', 'much', 'go', 'yall', 'new', 'sorri',
       'glad', 'sure', 'day', 'take', 'know', 'get', 'dont', 'amp', 'make',
       'life', 'live'],
      dtype='object')"
37,154,37,"Index(['like', 'peopl', 'would', 'sound', 'amp', 'dont', 'get', 'never',
       'anyon', 'also', 'right', 'say', 'watch', 'got', 'use', 'someth',
       'alway', 'mani', 'way', 'give'],
      dtype='object')"
19,153,46,"Index(['one', 'get', 'new', 'time', 'last', 'say', 'never', 'go', 'favorit',
       'would', 'game', 'today', 'day', 'step', 'like', 'good', 'oneone',
       'white', 'someth', 'everi'],
      dtype='object')"
17,150,14,"Index(['today', 'shit', 'day', 'take', 'appli', 'thank', 'histori', 'commun',
       'student', 'rain', 'let', 'make', 'hope', 'team', 'amp', 'back', 'time',
       'final', 'dont', 'peopl'],
      dtype='object')"
45,149,40,"Index(['need', 'go', 'get', 'still', 'make', 'home', 'let', 'peopl', 'know',
       'one', 'would', 'year', 'put', 'take', 'tell', 'back', 'time', 'live',
       'young', 'give'],
      dtype='object')"
