,count,cluster,terms
1,10383,1,"Index(['day', 'would', 'time', 'get', 'use', '2', 'peopl', 'like', 'year',
       'want', 'also', 'go', 'week', 'report', 'make', 'end', 'take', 'back',
       'play', 'say'],
      dtype='object')"
59,9053,0,"Index(['back', 'game', 'take', 'year', 'way', 'today', 'see', '2', 'play',
       'make', 'want', 'go', 'work', 'first', 'us', 'school', 'mani', 'one',
       'still', 'need'],
      dtype='object')"
49,4246,2,"Index(['amp', 'love', 'make', 'last', 'got', 'peopl', 'give', 'life', 'get',
       'like', 'need', '2', 'play', 'feel', 'watch', 'way', 'night', 'one',
       'first', 'use'],
      dtype='object')"
32,1567,3,"Index(['amp', 'get', 'day', 'work', 'never', 'come', 'like', 'go', 'first',
       'one', 'time', 'make', 'said', 'need', 'got', 'today', 'start', 'year',
       'see', 'good'],
      dtype='object')"
17,1080,4,"Index(['get', 'still', 'new', 'come', 'morn', 'work', 'call', 'like', 'one',
       'way', 'wait', 'go', 'day', 'peopl', 'that', 'good', 'back', 'want',
       'take', 'im'],
      dtype='object')"
25,939,23,"Index(['time', 'back', 'today', 'get', 'girl', 'like', 'birthday', 'go', 'fun',
       'happi', 'first', 'see', 'day', 'good', 'one', 'make', 'got', 'everi',
       'year', 'much'],
      dtype='object')"
45,906,45,"Index(['peopl', 'time', 'one', 'day', 'us', 'good', 'much', '2019', 'week',
       'even', 'see', 'love', 'make', 'go', 'come', 'get', 'like', 'would',
       'know', 'need'],
      dtype='object')"
20,896,25,"Index(['new', 'want', 'game', 'one', 'us', 'feel', 'thing', 'take', 'like',
       'make', 'get', 'go', 'sure', 'play', 'time', 'im', 'see', 'day', 'that',
       'come'],
      dtype='object')"
41,879,31,"Index(['one', 'know', 'got', 'new', 'hope', 'like', 'dont', 'photo', 'get',
       'share', 'go', 'ta', 'good', 'make', 'even', 'time', 'love', 'come',
       'day', 'best'],
      dtype='object')"
35,852,24,"Index(['go', 'one', 'work', 'us', 'well', 'get', 'long', 'make', 'like',
       'keep', 'day', 'let', 'ask', 'find', 'im', 'need', 'ill', 'time',
       'year', 'amp'],
      dtype='object')"
8,852,39,"Index(['would', 'need', 'got', 'im', 'trump', 'fuck', 'vote', 'like', 'ta',
       'get', 'think', 'one', 'see', 'make', 'peopl', 'love', 'time', 'go',
       'want', 'day'],
      dtype='object')"
13,824,8,"Index(['like', 'would', 'back', 'thing', 'thank', 'hope', 'birthday', 'go',
       'get', 'better', 'come', 'much', 'make', 'peopl', 'see', 'love', 'feel',
       'yall', 'friday', 'take'],
      dtype='object')"
