,count,cluster,terms
41,129,7,"Index(['trump', 'biden', 'joe', 'elect', 'mani', 'presid', 'us', 'fraud',
       'lose', 'congratul', 'go', 'get', 'peopl', 'amp', 'like', 'know',
       'vote', 'think', 'need', 'u'],
      dtype='object')"
44,128,34,"Index(['trump', 'republican', 'like', 'biden', 'said', 'elect', 'im',
       'januari', 'get', 'think', 'give', 'sinc', 'got', 'enough', 'peopl',
       'fuck', 'us', 'take', 'hous', 'win'],
      dtype='object')"
51,107,50,"Index(['trump', 'biden', 'vote', 'elect', 'need', 'call', 'amp', 'presid',
       'vaccin', 'say', 'said', 'get', 'state', 'want', 'russian', 'fraud',
       'never', 'go', 'harri', 'kamala'],
      dtype='object')"
2,106,35,"Index(['trump', 'biden', 'go', 'joe', 'elect', 'presid', 'us', 'right', 'get',
       'peopl', 'law', 'loser', 'make', 'want', 'jill', 'dr', 'thing', 'hous',
       'one', 'like'],
      dtype='object')"
49,100,39,"Index(['trump', 'presid', 'biden', 'donald', 'joe', 'say', 'thing', 'dollar',
       'first', 'parti', 'need', 'american', 'year', 'peopl', 'go', 'make',
       'could', 'still', 'said', 'democrat'],
      dtype='object')"
56,99,14,"Index(['trump', 'elect', 'biden', 'vote', 'get', 'donald', 'peopl', 'like',
       'time', 'glass', 'need', 'water', 'presid', 'good', 'pleas', 'us',
       'still', 'one', 'law', 'state'],
      dtype='object')"
48,98,43,"Index(['trump', 'biden', 'elector', 'elect', 'presid', 'fire', 'colleg',
       'donald', 'vote', 'your', 'republican', 'peopl', 'think', 'go', 'news',
       'one', 'also', 'said', 'hous', 'mean'],
      dtype='object')"
39,97,3,"Index(['trump', 'elect', 'amp', 'biden', 'time', 'mani', 'vote', 'russian',
       'peopl', 'need', 'get', 'think', 'american', 'count', 'countri',
       'cyber', 'presid', 'us', 'continu', 'republican'],
      dtype='object')"
3,97,17,"Index(['trump', 'biden', 'would', 'elect', 'said', 'secur', 'well', 'peopl',
       'think', 'dr', 'get', 'want', 'tri', 'first', 'fire', 'jill', 'presid',
       'tweet', 'even', 'white'],
      dtype='object')"
4,89,18,"Index(['trump', 'amp', 'biden', 'elect', 'get', 'presid', 'steal', 'day',
       'know', 'vote', 'like', 'realli', 'peopl', 'one', 'tri', 'anyth',
       'throat', 'happen', 'joe', 'believ'],
      dtype='object')"
35,88,16,"Index(['trump', 'biden', 'elect', 'peopl', 'day', 'like', 'give', 'get',
       'help', 'know', 'american', 'let', 'dont', 'want', 'amp', 'watch', 'us',
       'sound', 'die', 'corrupt'],
      dtype='object')"
52,88,11,"Index(['trump', 'biden', 'elect', 'presid', 'never', 'call', 'american',
       'would', 'peopl', 'year', 'amp', 'democrat', 'said', 'get', 'million',
       'overturn', 'lie', 'joe', 'look', 'he'],
      dtype='object')"
46,88,9,"Index(['trump', 'elect', 'biden', 'lie', 'vote', 'peopl', 'presid', 'amp',
       'said', 'go', 'joe', 'kamala', 'get', 'cast', 'harri', 'power',
       'elector', 'state', 'know', 'case'],
      dtype='object')"
43,87,1,"Index(['trump', 'elect', 'presid', 'biden', 'state', 'support', 'god', 'vote',
       'dont', 'one', 'get', 'special', 'look', 'donald', 'counsel', 'say',
       'meet', 'need', 'secur', 'tax'],
      dtype='object')"
53,84,52,"Index(['trump', 'free', 'candid', 'first', 'olf', 'biden', 'conduct',
       'potenti', 'fair', 'oromia', 'prison', 'elect', 'joe', 'presid',
       'court', 'mcconnel', 'amp', 'still', 'even', 'pro'],
      dtype='object')"
7,83,13,"Index(['trump', 'biden', 'elect', 'presid', 'peopl', 'fuck', 'made', 'ever',
       'privileg', 'melania', 'make', 'get', 'say', 'take', 'american',
       'white', 'hous', 'amp', 'need', 'even'],
      dtype='object')"
1,82,2,"Index(['amp', 'trump', 'biden', 'elect', 'presid', 'white', 'like', 'hous',
       'get', 'see', 'would', 'vote', 'work', 'need', 'not', 'peopl', 'dr',
       'american', 'republican', 'first'],
      dtype='object')"
36,82,31,"Index(['trump', 'biden', 'go', 'presid', 'time', 'elect', 'america', 'like',
       'doesnt', 'first', 'say', 'may', 'man', 'home', 'way', 'citi', 'ever',
       'one', 'stop', 'republican'],
      dtype='object')"
8,81,40,"Index(['trump', 'biden', 'presid', 'amp', 'know', 'never', 'way', 'countri',
       'peopl', 'joe', 'republican', 'would', 'elect', 'back', 'one',
       'america', 'tell', 'must', 'use', 'entir'],
      dtype='object')"
