,count,cluster,terms
0,10844,0,"Index(['amp', 'christma', 'like', 'time', 'go', 'see', 'peopl', 'get', 'last',
       'use', 'today', 'great', 'play', 'even', 'take', '2', 'call', 'thing',
       'game', 'us'],
      dtype='object')"
1,4326,1,"Index(['play', 'year', 'go', 'love', 'one', 'new', 'watch', 'still', 'get',
       'game', 'would', 'much', 'peopl', 'make', 'work', 'way', 'dont', 'that',
       'live', 'made'],
      dtype='object')"
46,4109,5,"Index(['photo', 'go', 'im', 'christma', 'good', 'one', 'never', 'time', 'snow',
       'stop', 'back', 'would', 'even', 'co', 'work', 'report', 'famili',
       'dont', 'realli', 'new'],
      dtype='object')"
19,4021,19,"Index(['know', 'im', 'want', 'today', 'sure', 'work', 'back', 'make', 'us',
       'one', 'go', 'like', 'great', 'new', 'amp', 'even', 'think', 'home',
       'day', 'come'],
      dtype='object')"
30,3179,22,"Index(['would', 'got', 'think', 'fuck', 'say', 'new', 'see', 'one', 'good',
       'today', 'that', 'get', 'peopl', 'also', 'us', 'like', 'ta', 'realli',
       'last', 'dont'],
      dtype='object')"
26,1643,4,"Index(['get', 'time', 'photo', 'good', 'way', 'make', 'one', 'peopl', 'like',
       'play', 'back', 'day', 'still', 'christma', 'year', 'say', 'friend',
       'go', 'new', 'amp'],
      dtype='object')"
10,1052,9,"Index(['get', 'look', 'one', 'like', 'love', 'shit', 'year', 'want', 'forward',
       'see', 'work', 'time', 'good', 'christma', 'back', 'even', 'make',
       'amp', 'day', 'know'],
      dtype='object')"
18,1017,17,"Index(['new', 'year', 'happi', 'us', 'got', 'say', 'best', 'alway', 'like',
       'ta', 'get', 'hope', 'love', 'good', 'yearhappi', 'christma', 'go',
       'one', 'time', 'make'],
      dtype='object')"
35,942,2,"Index(['amp', 'day', 'photo', 'know', 'peopl', 'thank', 'wait', 'take', 'well',
       'get', 'year', 'new', 'christma', 'like', 'one', 'see', 'time', 'everi',
       'go', 'much'],
      dtype='object')"
39,900,44,"Index(['christma', 'like', 'merri', 'look', 'shit', 'two', 'christmamerri',
       'famili', 'head', 'year', 'one', 'time', 'get', 'lol', 'everyon',
       'show', 'agre', 'day', 'love', 'realli'],
      dtype='object')"
22,892,13,"Index(['amp', 'day', 'year', 'would', 'life', 'new', 'box', 'well', 'christma',
       'get', 'like', 'go', 'one', 'time', 'last', 'say', 'im', 'see', 'peopl',
       'happi'],
      dtype='object')"
53,865,30,"Index(['christma', 'merri', 'know', 'need', 'first', 'mani', 'man', 'coach',
       'one', 'christmamerri', 'year', 'love', 'like', 'get', 'time', 'home',
       'im', 'hope', 'day', 'even'],
      dtype='object')"
23,854,21,"Index(['new', 'year', 'happi', 'take', 'right', 'season', 'get', 'day', 'eve',
       'that', 'see', 'like', 'amp', 'christma', 'love', 'time', '2022', 'one',
       'start', 'go'],
      dtype='object')"
57,853,8,"Index(['got', 'look', 'never', 'today', 'morn', 'peopl', 'see', 'like', 'team',
       'ta', 'good', 'birthday', 'new', 'happi', 'amp', 'year', 'christma',
       'get', 'go', 'one'],
      dtype='object')"
33,851,27,"Index(['day', 'im', 'one', 'well', 'get', 'christma', 'girl', 'great', 'like',
       'go', 'time', 'back', 'year', 'today', 'good', 'amp', 'even', 'feel',
       'thing', 'everi'],
      dtype='object')"
36,838,55,"Index(['get', 'go', 'na', 'dont', 'gon', 'god', 'that', 'like', 'even', 'im',
       'great', 'wan', 'know', 'christma', 'back', 'think', 'day', 'one',
       'time', 'beauti'],
      dtype='object')"
32,817,54,"Index(['get', 'even', 'got', 'make', 'still', 'fuck', 'best', 'like', 'ta',
       'bad', 'go', 'christma', 'year', 'day', 'time', 'good', 'one', 'realli',
       'see', 'game'],
      dtype='object')"
4,812,24,"Index(['one', 'know', 'got', 'let', 'shit', 'like', 'team', 'ta', 'go',
       'happi', 'get', 'birthday', 'week', 'end', 'year', 'amp', 'peopl',
       'dont', 'say', 'play'],
      dtype='object')"
