,count,cluster,terms
42,10452,1,"Index(['get', 'amp', 'know', 'new', 'time', 'day', 'game', 'thing', 'make',
       'first', 'use', 'want', 'see', '2', 'peopl', 'last', 'like', 'one',
       'much', 'also'],
      dtype='object')"
1,7181,2,"Index(['get', 'need', 'peopl', 'love', 'let', 'today', 'make', 'one', 'go',
       'use', '1', 'live', 'take', 'would', 'us', '2', 'way', 'could', 'like',
       'know'],
      dtype='object')"
12,4632,0,"Index(['would', 'peopl', 'photo', 'like', 'see', 'back', 'new', 'make', 'day',
       'first', 'realli', 'amp', 'thing', 'get', 'year', 'think', 'come',
       'know', 'us', 'live'],
      dtype='object')"
43,3892,8,"Index(['one', 'got', 'know', 'us', 'like', 'day', 'get', 'still', 'amp',
       'look', 'peopl', 'today', 'time', 'big', 'live', 'way', 'play', 'first',
       'even', 'love'],
      dtype='object')"
9,1050,12,"Index(['im', 'love', 'new', 'watch', 'video', 'great', 'alreadi', 'like',
       'day', 'get', 'polic', 'go', 'realli', 'talk', 'amp', 'made', 'oh',
       'ive', 'well', 'see'],
      dtype='object')"
27,1034,5,"Index(['like', 'one', 'amp', 'day', 'come', 'got', 'watch', 'look', 'fuck',
       'could', 'get', 'feel', '2', 'ever', 'time', 'peopl', 'im', 'play',
       'go', 'would'],
      dtype='object')"
17,1028,18,"Index(['get', 'amp', 'photo', 'need', 'dont', 'yall', 'think', 'much', 'thank',
       'like', 'group', 'go', 'know', 'video', 'time', 'work', 'im', 'make',
       'us', 'would'],
      dtype='object')"
55,984,4,"Index(['best', 'need', 'got', 'would', 'make', 'team', 'still', 'get', 'happi',
       'like', 'one', 'ta', 'hope', 'vote', 'go', 'amp', 'good', 'peopl',
       'time', 'never'],
      dtype='object')"
32,946,49,"Index(['get', 'like', 'go', 'im', 'want', 'great', 'look', 'minut', 'peopl',
       'time', 'make', 'dont', 'feel', 'day', 'would', 'play', 'much', 'see',
       'say', 'one'],
      dtype='object')"
0,889,3,"Index(['amp', 'go', 'game', 'love', 'today', 'play', 'great', 'get', 'day',
       'let', 'im', 'time', 'year', 'like', 'see', 'team', 'good', 'hear',
       'glad', 'one'],
      dtype='object')"
6,862,54,"Index(['got', 'go', 'morn', 'even', 'ta', 'thank', 'birthday', 'time', 'like',
       'love', 'get', 'one', 'see', 'day', 'amp', 'good', 'look', 'happi',
       'work', 'want'],
      dtype='object')"
10,860,23,"Index(['amp', 'good', 'show', 'shit', 'get', 'like', 'team', 'day', 'make',
       'go', 'high', 'school', 'listen', 'peopl', 'one', 'im', 'take', 'see',
       'lol', 'today'],
      dtype='object')"
5,853,19,"Index(['im', 'dont', 'want', 'play', 'sure', 'ye', 'make', 'get', 'like',
       'night', 'yall', 'go', 'know', 'think', 'alway', 'see', 'call', 'last',
       'vaccin', 'one'],
      dtype='object')"
31,852,59,"Index(['get', 'look', 'dont', 'see', 'like', 'back', 'forward', 'that', 'read',
       'go', 'good', 'im', 'know', 'realli', 'make', 'time', 'want', 'one',
       'peopl', 'wait'],
      dtype='object')"
11,846,50,"Index(['amp', 'go', 'look', 'year', 'home', 'like', 'got', 'get', 'man', 'say',
       'make', 'back', 'best', 'one', 'way', 'that', 'work', 'week', 'new',
       'today'],
      dtype='object')"
16,839,29,"Index(['photo', 'day', 'go', 'im', 'today', 'get', 'give', 'run', 'like',
       'time', 'miss', 'peopl', 'event', 'good', 'start', 'one', 'first',
       'love', 'back', 'amp'],
      dtype='object')"
56,821,14,"Index(['day', 'back', 'work', 'right', 'hope', 'get', 'come', 'wait', 'team',
       'feel', 'way', 'go', 'like', 'today', 'cant', 'see', 'make', 'next',
       'time', 'love'],
      dtype='object')"
57,818,7,"Index(['photo', 'think', 'make', 'good', 'want', 'morn', 'take', 'girl',
       'anyon', 'like', 'get', 'new', 'dont', 'one', 'go', 'home', 'know',
       'peopl', 'look', 'day'],
      dtype='object')"
24,813,52,"Index(['photo', 'na', 'game', 'win', 'dont', 'thank', 'your', 'realli', 'gon',
       'get', 'wan', 'like', 'video', 'go', 'think', 'much', 'im', 'play',
       'see', 'time'],
      dtype='object')"
40,813,17,"Index(['year', 'one', 'im', 'never', 'let', 'get', 'go', 'thought', 'like',
       'time', 'much', 'he', 'last', 'got', 'amp', 'see', 'start', 'would',
       'day', 'next'],
      dtype='object')"
38,790,16,"Index(['back', 'day', 'love', 'fuck', 'well', 'traffic', 'get', 'stop', 'go',
       'like', 'rd', 'trafficaccid', 'im', 'lane', 'block', 'time', 'tell',
       'good', 'ass', 'nb'],
      dtype='object')"
19,761,43,"Index(['time', 'want', 'better', 'see', 'back', 'thank', 'go', 'traffic',
       'happen', 'get', 'like', 'stop', 'lane', 'make', 'video', 'block',
       'yall', 'look', 'day', 'im'],
      dtype='object')"
53,750,58,"Index(['like', 'night', 'shit', 'ever', 'last', 'birthday', 'get', 'god', 'go',
       'happi', 'look', 'time', 'feel', 'know', 'one', 'good', 'love', 'would',
       'im', 'lol'],
      dtype='object')"
