,count,cluster,terms
47,117,43,"Index(['trump', 'elect', 'donald', 'tweet', 'amp', 'like', 'give', 'work', '2',
       'presid', 'us', 'got', 'back', 'make', 'get', '4', 'vote', 'mr', 'sinc',
       'nuke'],
      dtype='object')"
7,100,21,"Index(['trump', 'amp', 'think', 'take', 'must', 'elect', 'trumptrump',
       'cabinet', 'start', 'would', 'nuclear', 'name', 'call', 'night', 'kid',
       'china', 'want', 'said', 'campaign', 'back'],
      dtype='object')"
20,99,2,"Index(['trump', 'presid', 'obama', 'would', 'elect', 'said', 'want', 'support',
       'via', 'watch', 'happen', 'go', 'us', 'call', 'undo', 'think', 'putin',
       'feel', 'campaign', 'power'],
      dtype='object')"
24,86,4,"Index(['trump', 'like', 'inaugur', 'vote', 'news', 'perform', 'peopl',
       'support', 'keep', 'amp', 'donald', 'play', 'famili', 'next', 'presid',
       'get', 'day', 'say', 'elect', 'make'],
      dtype='object')"
15,81,22,"Index(['trump', 'presid', 'amp', 'obama', 'christma', 'elect', 'next',
       'israel', 'show', 'pretend', 'right', 'peopl', 'us', 'hillari', 'u',
       'shit', 'trumptrump', 'blame', 'b', 'must'],
      dtype='object')"
2,81,36,"Index(['trump', 'elect', 'presid', 'state', 'obama', 'vote', 'nuclear',
       'peopl', 'would', 'us', 'pick', 'right', 'life', 'want', 'transit',
       'donald', 'friend', 'also', 'given', '1'],
      dtype='object')"
29,79,1,"Index(['trump', 'say', 'think', 'look', 'peopl', 'thing', 'get', 'shit',
       'elect', 'go', 'support', 'want', 'like', 'would', 'vote', 'obama',
       'year', 'fuck', 'come', 'chang'],
      dtype='object')"
41,75,7,"Index(['trump', 'great', 'support', 'evacu', 'donald', 'tower', 'would',
       'suspici', 'presid', 'packag', 'said', 'go', 'conflict', 'elect',
       'interest', 'say', 'tax', 'could', 'fuck', 'vote'],
      dtype='object')"
57,74,5,"Index(['trump', 'vote', 'see', 'like', 'first', 'amp', 'elect', 'us', 'arm',
       'anoth', 'illeg', 'america', 'state', 'make', 'race', 'great', 'hear',
       'go', 'voter', 'perform'],
      dtype='object')"
51,74,27,"Index(['trump', 'support', 'ivanka', 'man', 'good', 'move', 'report', 'love',
       'elect', 'thing', 'un', 'peopl', 'along', 'amp', 'want', 'make',
       'harass', 'donald', 'say', 'go'],
      dtype='object')"
16,73,3,"Index(['trump', 'new', 'christma', 'presid', 'year', 'america', 'get',
       'donald', 'peopl', 'elect', 'amp', 'king', 'women', 'happi', 'need',
       'way', 'could', 'want', 'thing', 'day'],
      dtype='object')"
0,69,17,"Index(['trump', 'putin', 'elect', 'want', 'twitter', 'good', 'day', 'stop',
       'tax', 'us', 'snl', 'donald', 'make', 'ask', 'democrat', 'follow',
       'russia', 'republican', 'presid', 'know'],
      dtype='object')"
54,67,26,"Index(['trump', 'like', 'support', 'amp', 'elect', 'obama', 'get', 'swamp',
       'america', 'need', 'thank', 'presid', 'donald', 'ever', 'still',
       'follow', 'would', 'big', 'vote', 'use'],
      dtype='object')"
30,66,11,"Index(['trump', 'donald', 'play', 'elect', 'day', 'one', 'swamp', 'bc', 'vote',
       'drain', 'give', 'inaugur', 'christma', 'chang', 'post', 'bit',
       'presid', 'voter', 'media', 'find'],
      dtype='object')"
4,66,9,"Index(['trump', 'go', 'get', 'need', 'amp', 'know', 'elect', 'must', 'mr',
       'real', 'u', 'obama', 'turn', 'donald', 'year', 'like', 'hillari',
       'think', 'vote', 'open'],
      dtype='object')"
18,62,29,"Index(['trump', 'like', 'peopl', 'amp', 'elect', 'time', 'donald', '2', 'take',
       'better', 'talk', 'one', 'apolog', 'thing', 'care', 'obama', 'pretend',
       'women', 'see', 'offic'],
      dtype='object')"
33,61,30,"Index(['trump', 'elect', 'would', 'vote', 'make', 'famili', 'million', 'tweet',
       'think', 'train', 'state', 'job', 'great', 'popular', 'amp', 'say',
       'presid', 'still', 'get', '3'],
      dtype='object')"
35,61,20,"Index(['trump', 'like', 'tweet', 'said', 'arm', 'amp', 'donald', 'u', 'charit',
       'morn', 'except', '4', 'nuclear', 'plan', 'look', 'never', 'want',
       'everyon', 'day', '2'],
      dtype='object')"
25,61,10,"Index(['trump', 'america', 'great', 'democrat', 'make', 'ivanka', 'read',
       'new', 'lie', 'vote', 'amp', 'go', 'elect', 'liber', 'say', 'due',
       'fight', 'donald', 'fear', 'right'],
      dtype='object')"
11,60,39,"Index(['trump', 'elector', 'news', 'wait', 'donald', 'take', 'elect', 'colleg',
       'vote', 'one', 'christma', 'reason', 'think', '2', 'hillari', 'fake',
       'time', 'merri', 'long', 'lie'],
      dtype='object')"
58,57,34,"Index(['trump', 'presid', 'one', 'elect', 'even', 'would', 'never', 'get',
       'amp', 'team', 'need', 'peopl', 'hope', 'go', 'hate', 'tell', 'know',
       'care', 'honest', 'miss'],
      dtype='object')"
1,57,41,"Index(['trump', 'say', 'person', 'still', 'nuclear', 'peopl', 'putin',
       'inaugur', 'put', 'amp', 'never', 'donat', 'obama', 'see', 'go', 'nuke',
       'hate', 'support', 'vote', 'us'],
      dtype='object')"
19,56,18,"Index(['trump', 'one', 'elect', 'call', '4', 'much', 'take', 'obama',
       'presidenti', 'jet', 'come', 'yet', 'go', 'anyon', 'e', 'vs', 'amp',
       'get', 'never', 'even'],
      dtype='object')"
