,count,cluster,terms
39,27526,2,"Index(['amp', 'time', 'us', 'one', 'make', 'still', '2', 'year', 'say', 'work',
       'great', 'take', 'live', 'look', 'call', 'go', 'even', 'like', 'first',
       'today'],
      dtype='object')"
0,18787,0,"Index(['make', 'peopl', 'take', 'team', 'know', 'back', 'got', '2', 'say',
       'still', 'one', 'get', 'much', 'exit', 'last', 'like', 'also', 'go',
       'polic', 'could'],
      dtype='object')"
51,11125,1,"Index(['see', 'vaccin', 'get', 'day', 'peopl', 'new', 'thank', 'still', 'work',
       'right', 'even', 'year', 'win', 'use', 'think', 'first', 'us', 'go',
       '2', 'one'],
      dtype='object')"
40,2296,14,"Index(['get', 'amp', 'day', 'look', 'today', 'like', 'great', 'well', 'go',
       'one', 'good', 'work', 'see', 'make', 'im', 'time', 'still', 'back',
       'say', 'love'],
      dtype='object')"
14,2041,6,"Index(['game', 'one', 'better', 'let', 'guy', 'go', 'get', 'like', 'start',
       'play', 'that', 'first', 'make', 'keep', 'made', 'tonight', 'min',
       'say', 'time', 'last'],
      dtype='object')"
13,1945,8,"Index(['year', 'im', 'love', 'great', 'thank', 'amaz', 'go', 'get', 'much',
       'ago', 'like', 'day', 'last', 'still', 'time', 'old', 'next', 'one',
       'work', 'amp'],
      dtype='object')"
43,1894,4,"Index(['get', 'peopl', 'back', 'even', 'good', 'team', 'like', 'go', 'make',
       'need', 'im', 'one', 'dont', 'look', 'got', 'tri', 'time', 'see',
       'know', 'think'],
      dtype='object')"
54,1851,37,"Index(['photo', 'time', 'peopl', 'dont', 'come', 'get', 'like', 'real', 'know',
       'go', 'see', 'take', 'back', 'one', 'want', 'say', 'im', 'year', 'day',
       'think'],
      dtype='object')"
35,1788,11,"Index(['like', 'new', 'think', 'show', 'that', 'get', 'look', 'keep', 'go',
       'tri', 'one', 'work', 'time', 'would', 'amp', 'feel', 'im', 'make',
       'even', 'see'],
      dtype='object')"
3,1754,5,"Index(['like', 'need', 'right', 'fuck', 'look', 'get', 'wait', 'cant', 'one',
       'peopl', 'go', 'make', 'im', 'would', 'love', 'time', 'feel', 'dont',
       'got', 'see'],
      dtype='object')"
38,1736,27,"Index(['go', 'make', 'got', 'come', 'want', 'best', 'ta', 'get', 'one', 'back',
       'like', 'let', 'see', 'time', 'us', 'love', 'work', 'know', 'im',
       'year'],
      dtype='object')"
17,1708,19,"Index(['photo', 'im', 'use', 'thank', 'holiday', 'well', 'amp', 'done', 'love',
       'get', 'like', 'much', 'make', 'time', 'happi', 'see', 'realli', 'one',
       'year', 'still'],
      dtype='object')"
31,1701,39,"Index(['get', 'time', 'go', 'week', 'someth', 'next', 'let', 'like', 'one',
       'last', 'work', 'ye', 'im', 'everi', 'make', 'got', 'first', 'take',
       'even', 'think'],
      dtype='object')"
57,1685,21,"Index(['like', 'im', 'na', 'see', 'could', 'gon', 'work', 'get', 'look',
       'olymp', 'go', 'wan', 'make', 'say', 'dont', 'still', 'peopl', 'amp',
       'think', 'would'],
      dtype='object')"
19,1663,46,"Index(['year', 'one', 'would', 'know', 'want', 'like', 'get', 'go', 'love',
       'dont', 'im', 'day', 'make', 'last', 'see', 'old', 'peopl', 'good',
       'still', 'two'],
      dtype='object')"
47,1647,17,"Index(['like', 'need', 'want', 'know', 'check', 'get', 'peopl', 'go', 'though',
       'one', 'time', 'im', 'make', 'even', 'see', 'think', 'good', 'realli',
       'dont', 'look'],
      dtype='object')"
12,1644,18,"Index(['like', 'get', 'would', 'great', 'sure', 'done', 'make', 'im', 'go',
       'love', 'well', 'year', 'say', 'day', 'time', 'feel', 'take', 'think',
       'one', 'know'],
      dtype='object')"
22,1622,24,"Index(['go', 'christma', 'night', 'call', 'fuck', 'thank', 'last', 'merri',
       'get', 'like', 'much', 'im', 'love', 'time', 'amp', 'would', 'take',
       'everyon', 'day', 'good'],
      dtype='object')"
36,1617,48,"Index(['amp', 'one', 'cant', 'thank', 'yall', 'get', 'beauti', 'like', 'love',
       'im', 'see', 'wait', 'go', 'much', 'day', 'peopl', 'time', 'got',
       'even', 'good'],
      dtype='object')"
44,1615,53,"Index(['photo', 'one', 'know', 'man', 'na', 'right', 'power', 'like', 'get',
       'wan', 'video', 'dont', 'time', 'go', 'im', 'make', 'good', 'new',
       'love', 'amp'],
      dtype='object')"
21,1594,3,"Index(['like', 'would', 'think', 'best', 'get', 'look', 'go', 'sound', 'one',
       'love', 'ye', 'say', 'peopl', 'feel', 'know', 'im', 'make', 'time',
       'got', 'good'],
      dtype='object')"
