,count,cluster,terms
25,10420,1,"Index(['get', 'year', 'today', 'back', 'live', 'even', 'new', 'come', '2',
       'work', 'like', 'take', '1', 'team', 'would', 'thing', 'one', 'russian',
       'us', 'first'],
      dtype='object')"
51,5996,0,"Index(['game', 'report', 'us', '2', 'use', 'get', 'take', '3', '1', 'cocorah',
       'snow', 'team', 'support', 'beauti', 'tonight', 'co', 'win', 'station',
       'play', 'give'],
      dtype='object')"
1,3985,3,"Index(['get', 'one', 'love', 'us', 'day', 'amp', 'peopl', 'live', 'year',
       'fuck', 'call', 'use', 'vote', 'team', 'report', 'world', 'like',
       'game', 'first', 'time'],
      dtype='object')"
8,3981,2,"Index(['photo', 'amp', 'one', 'realli', 'good', 'us', 'make', 'get', 'like',
       'today', 'take', 'thank', 'look', 'say', 'live', '2', 'great', 'never',
       'month', 'back'],
      dtype='object')"
58,1359,29,"Index(['amp', 'get', 'want', 'let', 'realli', 'take', 'us', 'work', 'back',
       'still', 'russia', 'go', 'see', 'time', 'show', 'nato', 'live', 'year',
       'much', 'use'],
      dtype='object')"
47,1207,41,"Index(['amp', 'look', 'na', 'today', 'good', 'week', 'gon', 'game', 'last',
       'night', 'know', 'go', 'get', 'best', 'play', 'see', 'team', 'nice',
       'like', 'movi'],
      dtype='object')"
45,935,40,"Index(['get', 'need', 'see', 'dont', 'great', 'st', 'thank', 'much', 'like',
       'know', 'go', 'polic', 'im', 'ave', 'exit', 'nb', 'port', 'still',
       'portland', 'take'],
      dtype='object')"
26,904,15,"Index(['amp', 'photo', 'got', 'way', 'night', 'last', 'come', 'thank', 'kid',
       'one', 'get', 'time', 'like', 'new', 'ta', 'go', 'us', 'much', 'peopl',
       'love'],
      dtype='object')"
2,897,22,"Index(['time', 'would', 'im', 'come', 'like', 'fuck', 'go', 'get', 'think',
       'one', 'ask', 'good', 'see', 'back', 'know', 'first', 'dont', 'last',
       'take', 'still'],
      dtype='object')"
46,879,17,"Index(['get', 'see', 'time', 'new', 'work', 'war', 'like', 'job', 'go',
       'follow', 'make', 'day', 'come', 'team', 'one', 'year', 'world', 'way',
       'link', 'help'],
      dtype='object')"
42,867,28,"Index(['year', 'go', 'feel', 'time', 'know', 'think', 'like', 'say', 'well',
       'let', 'make', 'get', 'take', 'last', 'one', 'god', 'back', 'us',
       'today', 'dont'],
      dtype='object')"
20,850,50,"Index(['like', 'one', 'hope', 'good', 'last', 'fuck', 'that', 'night', 'get',
       'week', 'think', 'day', 'time', 'see', 'go', 'feel', 'look', 'im',
       'realli', 'amp'],
      dtype='object')"
13,820,9,"Index(['amp', 'day', 'got', 'new', 'think', 'ta', 'real', 'shit', 'like',
       'thank', 'get', 'one', 'back', 'come', '2', 'today', 'go', 'want',
       'start', 'time'],
      dtype='object')"
59,818,32,"Index(['would', 'need', 'think', 'want', 'like', 'thank', 'get', 'go', 'know',
       'love', 'one', 'side', 'much', 'peopl', 'see', 'time', 'take', 'make',
       'realli', 'good'],
      dtype='object')"
31,816,10,"Index(['peopl', 'would', 'need', 'know', 'us', 'even', 'like', 'russia', 'get',
       'amp', 'go', 'think', 'make', 'want', 'dont', 'ukrain', 'one', 'say',
       'second', 'still'],
      dtype='object')"
22,813,42,"Index(['photo', 'go', 'would', 'could', 'book', 'shit', 'that', 'like', 'get',
       'day', 'amp', 'wish', 'know', 'new', 'one', 'good', 'im', 'come', 'say',
       'let'],
      dtype='object')"
41,811,5,"Index(['photo', 'year', 'new', 'ukrain', 'need', 'still', 'watch', 'amp',
       'best', 'get', 'ago', 'peopl', 'world', 'one', 'stand', 'last', 'go',
       'us', 'game', 'like'],
      dtype='object')"
18,796,56,"Index(['get', 'im', 'love', 'let', 'thank', 'go', 'night', 'right', 'beauti',
       'nice', 'know', 'day', 'take', 'one', 'make', 'like', 'year', 'time',
       'amp', 'see'],
      dtype='object')"
17,793,14,"Index(['im', 'today', 'morn', 'shit', 'fuck', 'dont', 'make', 'hope', 'good',
       'tonight', 'go', 'day', 'get', 'feel', 'think', 'see', 'like', 'take',
       'one', 'back'],
      dtype='object')"
23,787,34,"Index(['like', 'peopl', 'look', 'fragranc', 'pear', 'sugar', 'get', 'made',
       'good', 'smell', 'thing', 'top', 'dont', 'feel', 'mani', 'though',
       'know', 'note', 'custard', 'fruiti'],
      dtype='object')"
56,774,25,"Index(['go', 'hope', 'win', 'get', 'actual', 'girl', 'yall', 'way', 'good',
       'much', 'never', 'polic', 'see', 'im', 'one', 'your', 'year', 'make',
       'se', 'like'],
      dtype='object')"
44,765,39,"Index(['photo', 'peopl', 'need', 'that', 'let', 'go', 'like', 'get', 'thought',
       'home', 'amp', 'know', 'make', 'think', 'see', 'would', 'way', 'done',
       'one', 'mani'],
      dtype='object')"
